,time,rssi,label
0,1578566150424,-102,far
1,1578566150524,-99,far
2,1578566150628,-97,far
3,1578566150735,-98,far
4,1578566150852,-102,far
5,1578566150958,-95,far
6,1578566151067,-96,far
7,1578566151169,-101,far
8,1578566151274,-95,far
9,1578566151377,-95,far
10,1578566151480,-91,far
11,1578566151588,-90,far
12,1578566151685,-89,far
13,1578566151779,-89,far
14,1578566151880,-90,far
15,1578566151991,-90,far
16,1578566152092,-90,far
17,1578566152340,-90,far
18,1578566152412,-90,far
19,1578566152522,-90,far
20,1578566152632,-90,far
21,1578566152735,-90,far
22,1578566152834,-91,far
23,1578566152946,-91,far
24,1578566153055,-91,far
25,1578566153162,-92,far
26,1578566153269,-92,far
27,1578566153377,-92,far
28,1578566153478,-93,far
29,1578566153580,-92,far
30,1578566153807,-91,far
31,1578566153896,-91,far
32,1578566154003,-91,far
33,1578566154110,-91,far
34,1578566154219,-91,far
35,1578566154327,-91,far
36,1578566154433,-90,far
37,1578566154536,-92,far
38,1578566154644,-89,far
39,1578566154868,-91,far
40,1578566155071,-91,far
41,1578566155171,-89,far
42,1578566155270,-89,far
43,1578566155370,-89,far
44,1578566155475,-88,far
45,1578566155576,-89,far
46,1578566155685,-91,far
47,1578566155788,-93,far
48,1578566155879,-92,far
49,1578566155989,-84,approach
50,1578566156092,-84,approach
51,1578566156192,-86,approach
52,1578566156298,-81,approach
53,1578566156410,-81,approach
54,1578566156511,-81,approach
55,1578566156634,-87,approach
56,1578566156730,-95,approach
57,1578566156829,-84,approach
58,1578566156939,-80,approach
59,1578566157047,-73,approach
60,1578566157153,-76,approach
61,1578566157256,-84,approach
62,1578566157367,-89,approach
63,1578566157475,-77,approach
64,1578566157583,-76,approach
65,1578566157682,-78,approach
66,1578566157783,-78,approach
67,1578566157882,-80,approach
68,1578566157982,-78,approach
69,1578566158086,-79,approach
70,1578566158181,-79,approach
71,1578566158297,-78,approach
72,1578566158405,-83,approach
73,1578566158509,-81,approach
74,1578566158614,-80,approach
75,1578566158719,-89,approach
76,1578566158827,-88,approach
77,1578566158931,-83,approach
78,1578566159037,-84,approach
79,1578566159145,-84,approach
80,1578566159257,-80,approach
81,1578566159356,-83,approach
82,1578566159464,-78,approach
83,1578566159566,-76,approach
84,1578566159672,-80,approach
85,1578566159776,-81,approach
86,1578566159883,-80,approach
87,1578566159993,-77,approach
88,1578566160084,-83,approach
89,1578566160202,-84,approach
90,1578566160306,-76,approach
91,1578566160406,-78,approach
92,1578566160508,-78,approach
93,1578566160617,-84,approach
94,1578566160719,-80,approach
95,1578566160819,-80,approach
96,1578566161044,-86,approach
97,1578566161128,-76,approach
98,1578566161232,-80,approach
99,1578566161336,-74,approach
100,1578566161442,-73,approach
101,1578566161546,-73,approach
102,1578566161635,-79,approach
103,1578566161752,-78,approach
104,1578566161850,-83,approach
105,1578566161964,-77,approach
106,1578566162070,-74,approach
107,1578566162175,-69,approach
108,1578566162513,-86,approach
109,1578566162590,-76,approach
110,1578566162690,-82,approach
111,1578566162790,-75,approach
112,1578566162893,-78,approach
113,1578566163006,-71,approach
114,1578566163113,-79,approach
115,1578566163211,-71,approach
116,1578566163313,-76,approach
117,1578566163424,-74,approach
118,1578566163525,-76,approach
119,1578566163766,-77,approach
120,1578566163850,-68,approach
121,1578566163956,-72,approach
122,1578566164068,-63,approach
123,1578566164169,-66,approach
124,1578566164279,-80,approach
125,1578566164390,-86,approach
126,1578566164623,-74,approach
127,1578566164696,-68,approach
128,1578566164808,-62,approach
129,1578566164916,-67,approach
130,1578566165016,-78,approach
131,1578566165119,-76,approach
132,1578566165233,-68,approach
133,1578566165343,-62,approach
134,1578566165445,-62,approach
135,1578566165546,-62,approach
136,1578566165652,-65,approach
137,1578566165761,-61,approach
138,1578566165861,-59,approach
139,1578566165969,-64,approach
140,1578566166070,-62,approach
141,1578566166178,-56,approach
142,1578566166283,-58,approach
143,1578566166387,-58,approach
144,1578566166618,-55,approach
145,1578566166697,-56,approach
146,1578566166795,-54,approach
147,1578566166899,-51,approach
148,1578566167009,-56,approach
149,1578566167113,-53,approach
150,1578566167343,-53,near
151,1578566167423,-51,near
152,1578566167526,-51,near
153,1578566167632,-51,near
154,1578566167855,-51,near
155,1578566167958,-51,near
156,1578566168059,-51,near
157,1578566168168,-51,near
158,1578566168273,-51,near
159,1578566168381,-51,near
160,1578566168487,-51,near
161,1578566168589,-51,near
162,1578566168690,-51,near
163,1578566168792,-51,near
164,1578566168895,-51,near
165,1578566168997,-51,near
166,1578566169101,-51,near
167,1578566169208,-51,near
168,1578566169312,-51,near
169,1578566169423,-51,near
170,1578566169522,-51,near
171,1578566169771,-51,near
